time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,total_real_distance
00:00 ~ 00:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5429,73429,5595
01:00 ~ 01:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5463,73463,5595
02:00 ~ 02:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5450,73450,5595
03:00 ~ 03:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5445,73445,5595
04:00 ~ 04:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5460,73460,5595
05:00 ~ 05:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5397,73397,5595
06:00 ~ 06:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5479,73479,5595
07:00 ~ 07:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5486,73486,5595
08:00 ~ 08:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5476,73476,5595
09:00 ~ 09:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5206,73206,5595
10:00 ~ 10:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5251,73251,5595
11:00 ~ 11:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5196,73196,5595
12:00 ~ 12:59,0,14,14,14 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,5595,5366,73366,5595
13:00 ~ 13:59,0,14,14,14 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,5595,5295,73295,5595
14:00 ~ 14:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5230,73230,5595
15:00 ~ 15:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5359,73359,5595
16:00 ~ 16:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5362,73362,5595
17:00 ~ 17:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5452,73452,5595
18:00 ~ 18:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5452,73452,5595
19:00 ~ 19:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5427,73427,5595
20:00 ~ 20:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5374,73374,5595
21:00 ~ 21:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5419,73419,5595
22:00 ~ 22:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5460,73460,5595
23:00 ~ 23:59,0,14,14,14 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,5595,5341,73341,5595
