id,x_longtitude,y_latitude,NAME
1,127.110785,37.359407,경기 성남시 분당구 서현동
2,126.868977,37.496731,서울 강서구 화곡동
3,126.836597,37.520998,서울 양천구 목동
4,126.74043,37.528229,경기 부천시 오정동
5,127.078535,37.258136,경기 수원시 영통구 원천동
6,126.967683,37.382887,경기 안양시 동안구 평촌동
7,126.878259,37.512807,서울 양천구 신정동
8,126.871848,37.505937,서울 구로구 구로동
9,126.841587,37.563371,서울 강서구 등촌동
10,126.879137,37.526261,서울 양천구 목동
11,127.108489,37.370413,경기 성남시 분당구 야탑동
12,126.925694,37.353607,경기 안양시 만안구 안양동
13,126.759137,37.504408,경기 부천시 중동
14,126.723672,37.490851,인천 계양구 계산동
