id,NAME,y_latitude,x_longtitude,h3_cell,exists_in_outgoing
0,경기 성남시 분당구 서현동,37.359407,127.110785,8830e024dbfffff,True
1,서울 강서구 화곡동,37.496731,126.868977,8830e0ac87fffff,True
2,서울 양천구 목동,37.520998,126.836597,8830e0aea7fffff,True
3,경기 부천시 오정동,37.528229,126.74043,8830e0a1b1fffff,True
4,경기 수원시 영통구 원천동,37.258136,127.078535,8830e025a5fffff,True
5,경기 안양시 동안구 평촌동,37.382887,126.967683,8830e035d7fffff,True
6,서울 양천구 신정동,37.512807,126.878259,8830e0ac9dfffff,True
7,서울 구로구 구로동,37.505937,126.871848,8830e0ac83fffff,True
8,서울 강서구 등촌동,37.563371,126.841587,8830e0ae99fffff,True
9,서울 양천구 목동,37.526261,126.879137,8830e1db25fffff,True
10,경기 성남시 분당구 야탑동,37.370413,127.108489,8830e15361fffff,True
11,경기 안양시 만안구 안양동,37.353607,126.925694,8830e03531fffff,True
12,경기 부천시 중동,37.504408,126.759137,8830e0af0bfffff,True
13,인천 계양구 계산동,37.490851,126.723672,8830e0af6dfffff,True
14,Bundang_Townhall,37.382177,127.120481,8830e1530dfffff,True
15,Gimpo_Airport,37.548077,126.810849,8830e0aee9fffff,True
16,Beom_Gye,37.393222,126.955737,8830e035ddfffff,True
17,Kintex,37.513613,126.87868,8830e0ac99fffff,True
18,Gwang_Myeong,37.466736,126.864417,8830e0ad9bfffff,True
19,Incheon_Airport,37.455957,126.43919,8830e08c35fffff,True
20,Bundang_Townhall,37.382177,127.120481,8830e1530dfffff,True
21,Gimpo_Airport,37.548077,126.810849,8830e0aee9fffff,True
22,Beom_Gye,37.393222,126.955737,8830e035ddfffff,True
23,Kintex,37.513613,126.87868,8830e0ac99fffff,True
24,Gwang_Myeong,37.466736,126.864417,8830e0ad9bfffff,True
25,Incheon_Airport,37.455957,126.43919,8830e08c35fffff,True
