time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,total_real_distance
00:00 ~ 00:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,21035,87035,28797
01:00 ~ 01:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,21011,87011,28797
02:00 ~ 02:59,0,17,17,17 -> 9 -> 15 -> 8 -> 2 -> 18 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> Depot_Gwang_Myeong -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,27801,22532,88532,27801
03:00 ~ 03:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,20901,86901,28797
04:00 ~ 04:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,20284,86284,28797
05:00 ~ 05:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,20489,86489,28797
06:00 ~ 06:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,21310,87310,28797
07:00 ~ 07:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,28797,19822,85822,28797
08:00 ~ 08:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,44479,34953,82953,44479
09:00 ~ 09:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,44479,33453,81453,44479
